mse_base,mse_prop
1.0464449,0.32606316
1.0453165,0.85144925
0.4502157,0.3037602
1.9853978,1.1608344
1.3359572,1.8863549
0.3598682,0.27351633
0.42570674,1.2376292
2.7296617,1.3372375
0.683886,0.7678853
1.2595536,2.1743503
0.9099449,1.229473
0.879087,2.933142
0.86906797,1.1186262
0.93131375,0.9787444
1.6289103,0.22350278
0.0604422,0.066742726
1.4346688,1.0451647
1.5633036,0.13719265
1.2469797,0.569691
1.5505313,2.9135146
0.047884393,0.03599027
0.5607557,1.5326209
0.9046336,0.0035494885
0.9589541,0.09827461
0.29227147,0.8734995
1.7640105,1.6468692
0.6140215,0.5320205
0.081567414,1.08808
0.46075493,0.21735325
0.50489104,0.8727662
1.8607428,1.4029286
1.0804058,1.7593681
1.443928,0.85957223
0.1283781,1.578819
0.57713443,0.17312701
1.6419874,0.49962676
0.3870732,1.3863933
1.6049796,1.2378109
2.1037214,1.3575143
0.87716854,0.3057108
1.1240349,2.0024676
0.88666064,0.42276394
0.23582642,0.49105328
2.1331093,1.2413851
0.65388376,2.0590425
1.2673315,2.1685548
0.24667582,0.8972073
0.123789445,1.0585515
0.22066158,2.2456586
0.9598194,1.5952333
1.1271527,2.7497678
2.8682544,2.8279526
1.1902388,0.18600738
0.8857738,0.9582743
0.89344454,0.6155447
0.08822358,1.3305546
0.85507727,0.8898086
1.4781395,1.1493027
1.479345,2.3749216
0.52995133,1.1957989
0.8233867,1.484894
1.4430991,0.9564568
0.8764766,0.39755705
0.7406276,1.1954089
1.491518,0.31137732
1.8924681,1.9858023
0.62095505,0.63746804
1.084944,2.061808
1.0003409,2.7257564
3.0611057,2.1164396
1.5099654,0.6464996
0.45226818,0.42561212
0.3877387,0.4289178
0.6546981,0.985094
1.308602,1.7164096
2.4853296,1.6281166
1.0167338,1.0165231
1.8096588,1.1946855
1.3325729,1.634852
0.855325,0.25178808
2.0500293,1.1592908
1.376788,0.005432888
0.91084623,2.5578725
1.7961304,1.6146845
0.6902572,0.13561822
0.8896721,0.72196865
1.1941022,1.38824
1.4176489,0.05659318
1.4499023,1.7220461
0.39707357,0.5574399
0.971131,0.7745214
1.067012,1.4786122
0.18628174,0.86239284
0.8271043,3.2441673
1.5823578,0.17239174
2.016998,1.477382
1.3331743,2.9117024
1.3281522,1.0741857
0.9716386,0.7797811
0.6036498,0.91149116
0.38778442,0.32525483
0.23221454,0.47280607
0.15560216,0.8002691
1.682085,1.6723244
2.406948,2.5834923
1.7632087,0.543998
0.8456786,1.8544527
0.8109765,0.70288366
1.0652845,0.8962049
0.2991794,0.1500601
0.9944612,1.0976831
0.6485148,1.534974
1.589601,1.7877308
0.8897259,0.9966712
4.0766487,3.388481
0.2950807,1.2946255
0.13792099,0.64439166
0.88567835,0.60123485
0.927079,2.3024292
0.013939282,1.2263203
0.94979006,1.5144356
2.2374504,0.6997608
1.6652465,0.90722835
0.8284963,0.86243755
1.8366194,0.3612809
0.1761122,0.2904035
1.8247654,2.1919248
2.8185217,0.5799424
0.94772184,1.5038893
1.3030394,1.2083629
1.1105131,1.0311657
1.7871708,1.6894275
1.5109518,1.8135298
0.52346766,1.5798821
0.75180256,1.1783533
2.4561117,2.0459907
1.6728501,2.416346
0.46368212,0.8678937
0.8649264,2.332646
0.73186034,0.7184039
1.459313,0.54432964
1.3240947,0.50309134
0.43210953,0.47080144
0.063137904,0.78315705
1.0756106,1.3263928
0.5764603,0.95392764
0.6859335,1.2278489
0.85201573,0.5946987
0.89673007,0.86325544
2.157838,0.55429244
2.2429674,1.8964041
1.3920771,1.6719741
0.5972737,0.5150655
0.6349789,1.8461223
0.15641007,0.3794004
0.52891886,0.3455256
1.303628,1.8506094
0.45613796,2.436038
1.0000744,0.12273862
1.2509314,0.9947907
1.0536275,0.023730878
0.74317265,1.1443545
0.056853455,0.71496785
0.8859148,1.2312841
0.5854849,1.0364485
2.487411,0.8597816
0.3782999,1.0029323
0.9108212,0.21922015
2.0842443,2.341779
0.30399296,0.9181461
1.2517922,0.81338817
0.098383725,0.45626608
0.46923256,0.28186592
0.817063,0.2896705
1.1194679,0.49495953
1.7390028,0.44636193
1.0968387,0.6290598
1.8460746,1.3277866
0.81627065,0.48273042
2.1820016,1.2532724
0.29948983,0.21488376
0.7579895,0.85435927
1.4065245,0.5366153
0.36579528,1.1148586
0.32442436,0.90655965
2.5723395,1.1158346
0.6211901,0.9216687
0.0052389516,0.011992936
1.3654668,1.2880796
0.19483542,0.13034195
0.92445713,0.14022787
0.74961936,0.39530176
1.5984775,0.73488116
0.07579725,0.84844446
0.010269446,0.19020446
1.0834055,0.77339464
0.9551643,0.6049534
1.6576178,0.5974263
0.18876007,0.6825122
0.06628278,0.15411068
0.87793064,2.341603
0.22952221,0.44304672
2.2441366,1.7494822
1.4665159,1.9590436
1.9883009,0.2665072
0.8002325,0.867804
0.11116823,0.47367167
0.8840608,1.3451042
0.24319656,1.7736199
1.0627588,2.0926654
0.1438362,0.25112772
0.19601908,1.1809661
0.78873247,1.1237303
0.98011607,1.0845176
2.7350104,0.81273264
0.4652748,0.90241134
0.9103895,2.0844944
0.2817626,0.4932514
1.3082792,0.51052636
0.6699411,0.8678446
0.4116716,1.3693966
2.4262052,1.7066125
2.88126,1.8142896
0.80094635,0.503798
0.9115884,1.7335794
0.41405782,0.44553456
0.94943476,0.950788
1.2649163,1.1863351
1.2499187,1.5627824
1.6472446,1.2291398
1.0628617,0.36651793
0.44523466,2.211429
1.3662072,2.3259273
0.6351033,2.0646784
0.32746294,1.4816005
1.5766003,1.1376184
1.0539141,0.5898555
0.12199617,2.6471713
0.9899968,1.421122
1.6221993,2.7411857
1.6587577,0.2331828
0.8116242,0.58266383
1.0595157,1.3922709
0.5379434,1.2083938
3.3801205,3.7316337
0.37215355,0.959638
0.2593386,0.012426752
0.85713404,2.636859
3.840121,1.6874349
0.47249597,2.036118
0.72714627,0.68832874
1.9961722,1.5027294
0.51889837,0.13944529
1.1214193,1.5968633
0.24604487,0.6642721
1.8233126,0.59614795
0.5675573,0.23033477
1.3445274,0.1960871
1.2941173,0.4675403
0.38974965,2.6619093
0.2564765,1.4812683
0.16673642,0.086371794
0.050462306,1.070731
0.2963872,1.8697668
0.7859786,1.1794031
0.31856233,0.3280178
1.6793915,2.8697572
1.5331277,1.7140708
1.4348602,1.1288538
0.6852065,0.77787334
0.7293088,0.47860888
0.6483992,0.6610171
3.8199472,1.736906
1.4304857,1.19812
0.67445433,0.9219993
0.6447402,1.900361
0.4107305,1.2646655
0.46165836,1.6538638
1.1619506,1.7914435
1.9811715,2.947227
0.58922493,1.221949
1.0390712,0.7052558
0.06518591,1.2399305
0.8004651,2.8796787
0.030450447,0.7463579
0.053828623,0.43840158
0.17976025,0.53982455
2.3906448,0.99668384
0.551732,2.3266377
2.5910594,1.1785952
0.8663286,0.53780115
1.6098716,2.8174963
0.8548959,0.65130013
1.5118556,3.518927
1.5351467,1.0038598
0.48506916,0.39108175
1.6001377,2.4829242
0.06955848,0.4453526
0.32008147,1.2094176
0.54449177,1.3508186
2.4798524,0.4384311
0.76859736,0.4480265
1.1305346,0.3931381
3.682948,1.6758993
2.3244743,2.0725532
0.0707104,0.4940046
0.83899474,0.9225644
2.8494835,1.3556373
0.53168225,0.50211877
0.8412966,1.9776049
0.15092899,0.23719695
0.6235613,0.36034817
0.5136774,0.9001082
1.2956371,2.092343
1.2723913,0.33575818
2.050518,2.7654266
2.0049932,1.3659948
0.99329716,2.1747355
1.3186723,0.68256617
0.6432935,2.4063272
0.22388153,1.4629788
0.87186974,2.7832015
0.5499025,1.0489999
